,ID,Name,Question,ColumnID,ColumnName,QID_x,RowID,RowName,QID_y
20,5,Availability,What times are you possibly available to play games?,2,"""Wednesday""",5,2,"""1:00 PM""",5
21,5,Availability,What times are you possibly available to play games?,2,"""Wednesday""",5,3,"""2:00 PM""",5
22,5,Availability,What times are you possibly available to play games?,2,"""Wednesday""",5,4,"""3:00 PM""",5
23,5,Availability,What times are you possibly available to play games?,2,"""Wednesday""",5,5,"""4:00 PM""",5
24,5,Availability,What times are you possibly available to play games?,2,"""Wednesday""",5,6,"""5:00 PM""",5
25,5,Availability,What times are you possibly available to play games?,2,"""Wednesday""",5,7,"""6:00 PM""",5
26,5,Availability,What times are you possibly available to play games?,2,"""Wednesday""",5,8,"""7:00 PM""",5
27,5,Availability,What times are you possibly available to play games?,3,"""Thursday",5,0,"""11:00 AM""",5
28,5,Availability,What times are you possibly available to play games?,3,"""Thursday",5,1,"""12:00 PM""",5
29,5,Availability,What times are you possibly available to play games?,3,"""Thursday",5,2,"""1:00 PM""",5
30,5,Availability,What times are you possibly available to play games?,3,"""Thursday",5,3,"""2:00 PM""",5
31,5,Availability,What times are you possibly available to play games?,3,"""Thursday",5,4,"""3:00 PM""",5
32,5,Availability,What times are you possibly available to play games?,3,"""Thursday",5,5,"""4:00 PM""",5
33,5,Availability,What times are you possibly available to play games?,3,"""Thursday",5,6,"""5:00 PM""",5
34,5,Availability,What times are you possibly available to play games?,3,"""Thursday",5,7,"""6:00 PM""",5
35,5,Availability,What times are you possibly available to play games?,3,"""Thursday",5,8,"""7:00 PM""",5
36,5,Availability,What times are you possibly available to play games?,4,"""Friday""",5,0,"""11:00 AM""",5
37,5,Availability,What times are you possibly available to play games?,4,"""Friday""",5,1,"""12:00 PM""",5
38,5,Availability,What times are you possibly available to play games?,4,"""Friday""",5,2,"""1:00 PM""",5
39,5,Availability,What times are you possibly available to play games?,4,"""Friday""",5,3,"""2:00 PM""",5
40,5,Availability,What times are you possibly available to play games?,4,"""Friday""",5,4,"""3:00 PM""",5
41,5,Availability,What times are you possibly available to play games?,4,"""Friday""",5,5,"""4:00 PM""",5
42,5,Availability,What times are you possibly available to play games?,4,"""Friday""",5,6,"""5:00 PM""",5
43,5,Availability,What times are you possibly available to play games?,4,"""Friday""",5,7,"""6:00 PM""",5
44,5,Availability,What times are you possibly available to play games?,4,"""Friday""",5,8,"""7:00 PM""",5
45,5,Availability,What times are you possibly available to play games?,5,"""Saturday""",5,0,"""11:00 AM""",5
46,5,Availability,What times are you possibly available to play games?,5,"""Saturday""",5,1,"""12:00 PM""",5
47,5,Availability,What times are you possibly available to play games?,5,"""Saturday""",5,2,"""1:00 PM""",5
48,5,Availability,What times are you possibly available to play games?,5,"""Saturday""",5,3,"""2:00 PM""",5
49,5,Availability,What times are you possibly available to play games?,5,"""Saturday""",5,4,"""3:00 PM""",5
50,5,Availability,What times are you possibly available to play games?,5,"""Saturday""",5,5,"""4:00 PM""",5
51,5,Availability,What times are you possibly available to play games?,5,"""Saturday""",5,6,"""5:00 PM""",5
52,5,Availability,What times are you possibly available to play games?,5,"""Saturday""",5,7,"""6:00 PM""",5
53,5,Availability,What times are you possibly available to play games?,5,"""Saturday""",5,8,"""7:00 PM""",5
54,5,Availability,What times are you possibly available to play games?,6,"""Sunday""",5,0,"""11:00 AM""",5
55,5,Availability,What times are you possibly available to play games?,6,"""Sunday""",5,1,"""12:00 PM""",5
56,5,Availability,What times are you possibly available to play games?,6,"""Sunday""",5,2,"""1:00 PM""",5
57,5,Availability,What times are you possibly available to play games?,6,"""Sunday""",5,3,"""2:00 PM""",5
58,5,Availability,What times are you possibly available to play games?,6,"""Sunday""",5,4,"""3:00 PM""",5
59,5,Availability,What times are you possibly available to play games?,6,"""Sunday""",5,5,"""4:00 PM""",5
60,5,Availability,What times are you possibly available to play games?,6,"""Sunday""",5,6,"""5:00 PM""",5
61,5,Availability,What times are you possibly available to play games?,6,"""Sunday""",5,7,"""6:00 PM""",5
62,5,Availability,What times are you possibly available to play games?,6,"""Sunday""",5,8,"""7:00 PM""",5
